cluster,cluster_size,top_Pfam,top_count,purity
0,26,"PF03953,PF00091",26,1.0
2,37,"PF09118,PF07250",37,1.0
10,23,PF00504,23,1.0
4,21,PF07883,21,1.0
26,23,PF00190,23,1.0
24,83,PF00141,83,1.0
19,28,"PF06955,PF00722",28,1.0
18,157,PF00067,157,1.0
13,40,PF00067,40,1.0
11,25,PF00067,25,1.0
45,26,PF00190,26,1.0
46,27,PF00011,27,1.0
57,20,PF03140,20,1.0
31,27,PF03492,27,1.0
60,27,PF03254,27,1.0
12,65,PF00067,64,0.9846153846153847
79,42,PF03514,41,0.9761904761904762
44,82,PF00153,80,0.975609756097561
1,38,PF07883,37,0.9736842105263158
42,22,PF03357,21,0.9545454545454546
78,20,PF01370,19,0.95
54,35,PF01145,33,0.9428571428571428
144,30,PF00248,28,0.9333333333333333
47,26,PF14368,24,0.9230769230769231
49,38,PF13639,34,0.8947368421052632
51,33,PF00179,29,0.8787878787878788
161,29,PF00400,25,0.8620689655172413
83,35,"PF03330,PF01357",30,0.8571428571428571
97,25,PF01423,21,0.84
68,64,PF00403,52,0.8125
50,21,PF00892,17,0.8095238095238095
101,26,"PF01565,PF09265",21,0.8076923076923077
25,25,PF00190,20,0.8
28,31,PF00025,24,0.7741935483870968
140,115,PF00847,89,0.7739130434782608
22,42,PF00657,32,0.7619047619047619
145,25,PF00010,19,0.76
70,24,PF08881,18,0.75
30,79,PF05970,58,0.7341772151898734
20,38,"PF08100,PF00891",27,0.7105263157894737
67,56,PF03016,39,0.6964285714285714
15,36,PF03936,25,0.6944444444444444
124,26,"PF08244,PF00251",18,0.6923076923076923
111,60,PF01490,40,0.6666666666666666
21,57,PF00856,38,0.6666666666666666
89,39,PF03151,25,0.6410256410256411
9,29,PF00201,18,0.6206896551724138
16,36,PF00407,22,0.6111111111111112
114,25,PF03188,15,0.6
91,29,PF04535,17,0.5862068965517241
8,24,PF00076,14,0.5833333333333334
35,50,PF00628,29,0.58
37,28,"PF07983,PF00332",16,0.5714285714285714
180,21,PF13837,12,0.5714285714285714
81,21,PF07714,12,0.5714285714285714
82,84,PF00069,47,0.5595238095238095
48,65,PF02298,36,0.5538461538461539
66,38,PF10250,21,0.5526315789473685
95,49,PF05938,27,0.5510204081632653
33,35,PF05699,19,0.5428571428571428
55,26,PF00931,14,0.5384615384615384
52,33,PF00179,17,0.5151515151515151
27,37,PF00025,19,0.5135135135135135
64,54,"PF07714,PF12819",27,0.5
85,24,PF00012,12,0.5
71,24,PF16297,12,0.5
174,26,PF00221,13,0.5
139,28,PF00847,14,0.5
