,Pfam,cluster,count,total,purity,cluster_quality
0,PF16297,71,12,12,1.0,well-clustered
1,PF13632,-1,14,14,1.0,well-clustered
2,PF13360,-1,13,13,1.0,well-clustered
3,PF00139,69,12,12,1.0,well-clustered
4,PF00332,37,12,12,1.0,well-clustered
5,PF00201,9,18,18,1.0,well-clustered
6,PF00227,141,17,17,1.0,well-clustered
7,PF00221,174,13,13,1.0,well-clustered
8,PF00244,84,12,12,1.0,well-clustered
9,"PF00125,PF16211",5,11,11,1.0,well-clustered
10,PF07714,-1,51,265,0.19245283018867926,poorly-clustered
11,PF01476,-1,5,19,0.2631578947368421,poorly-clustered
12,PF00076,-1,28,102,0.27450980392156865,poorly-clustered
13,PF00160,-1,8,29,0.27586206896551724,poorly-clustered
14,PF07690,122,20,70,0.2857142857142857,poorly-clustered
15,PF02469,48,8,27,0.2962962962962963,poorly-clustered
16,PF13238,137,3,10,0.3,poorly-clustered
17,PF07876,-1,3,10,0.3,poorly-clustered
18,PF00106,197,7,23,0.30434782608695654,poorly-clustered
19,PF01554,96,5,16,0.3125,poorly-clustered
